num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
18,3,0.008620000483824154,binary,auc,gbdt,0.2023424373366332,80,875,55,20,2019,1.0548159896786258,21.582315406596763,0.334393660793853,0.6469877444219001,-1,20000,50,0.8914348544683863,0.8942488533657909,0.8895883121010106,-0.002813998897404524,24,0.27947716030233766
10,6,0.014840106618593335,binary,auc,gbdt,0.23804893725161463,10,225,65,20,2019,3.6168900093502874,4.935724301363598,0.4604625026356767,0.4682924183640632,-1,20000,50,0.8918369668926776,0.8965251596686069,0.8949249875208869,-0.004688192775929356,29,0.2793277488845564
9,8,0.008993067038505559,binary,auc,gbdt,0.7885074761437973,90,550,55,20,2019,6.797730711591549,6.65367140910586,0.3764564201972691,0.8661714532181494,-1,20000,50,0.9131519226156543,0.9170269297875048,0.9119883604002484,-0.0038750071718505197,27,0.2731638433523497
19,9,0.008981674500038606,binary,auc,gbdt,0.47485107435272134,70,100,60,20,2019,1.0803578174655326,3.266138460191481,0.3034677629824998,0.8935624813389127,-1,20000,50,0.9728260317178457,0.9643553355164783,0.9626075377863904,0.008470696201367311,3496,0.2613504074626965
6,12,0.0068489858810506146,binary,auc,gbdt,0.9079672628578128,60,500,25,20,2019,15.228161636137983,35.30772867362897,0.13817158358033454,0.7921401132114504,-1,20000,50,0.9376671412490802,0.9378243773020051,0.9367872204607499,-0.00015723605292483622,1560,0.266341874254654
4,2,0.014850479999460316,binary,auc,gbdt,0.9952587230913056,40,250,5,20,2019,32.539709410943644,6.366872262392537,0.33696990656874737,0.9377610443931561,-1,20000,50,0.9409438185764654,0.9412572844292486,0.9395442041193415,-0.0003134658527832457,1858,0.2654421695667637
8,5,0.011324984146369847,binary,auc,gbdt,0.20189873839587774,30,175,95,20,2019,47.511036545678245,24.264233391781755,0.4934921556559322,0.2864062475882355,-1,20000,50,0.8957050963180861,0.8999113249142778,0.8953274860613585,-0.004206228596191686,29,0.27819943766558697
2,5,0.0053816930223240834,binary,auc,gbdt,0.8243611825934627,60,350,45,20,2019,22.77169328313513,11.83691750133639,0.2617858081496018,0.3657326572557009,-1,20000,50,0.8687005067880564,0.8668477290163158,0.868551581405275,0.0018527777717406435,155,0.2874657545015889
22,5,0.014105650362904103,binary,auc,gbdt,0.5651527542858329,50,475,15,20,2019,15.820989078362762,7.39558281156355,0.1168833695377429,0.8030449077576642,-1,20000,50,0.90476741190898,0.9100598986370871,0.9037841892257068,-0.005292486728107115,46,0.2755487614532439
9,6,0.010478881193661183,binary,auc,gbdt,0.5005894933668507,30,900,35,20,2019,10.40671245879286,11.585325761089809,0.6679587645774017,0.19963127740780567,-1,20000,50,0.9494370128242401,0.949403450217817,0.9474376558715111,3.356260642306541e-05,2393,0.2631546903254669
11,7,0.011611556405060074,binary,auc,gbdt,0.47683626163708137,20,525,40,20,2019,33.26559961063109,37.70691103354983,0.30480899635497616,0.6341284605667927,-1,20000,50,0.9364183693472838,0.936185872618986,0.9347613952785734,0.0002324967282978374,2016,0.2668129265025213
15,5,0.010118600852735402,binary,auc,gbdt,0.15051891626395525,80,425,70,20,2019,14.611003831662195,13.099653325095195,0.3283710851083689,0.4334581180852718,-1,20000,50,0.8792343363735885,0.8836573433629937,0.8792184604524015,-0.0044230069894052315,208,0.2830823850106606
15,10,0.01468241076034748,binary,auc,gbdt,0.26055710094883056,20,375,55,20,2019,30.623796906718887,8.023892084208079,0.9597289793306257,0.9258265817567336,-1,20000,50,0.9069350056651801,0.90947567314931,0.9068711829447806,-0.0025406674841298438,31,0.2749626716598819
14,6,0.011191253963403619,binary,auc,gbdt,0.5229364411205507,80,375,65,20,2019,48.584872783928354,35.95202008928944,0.27233920054974486,0.8687212941892121,-1,20000,50,0.9182338442821519,0.9202527920623448,0.9167547329422844,-0.002018947780192848,197,0.2717434741690027
21,4,0.011695392714871376,binary,auc,gbdt,0.5290518804126632,20,450,45,20,2019,10.774249413429416,10.794838661150413,0.9954234823478146,0.8972981942435417,-1,20000,50,0.9560568800589677,0.9526474548201496,0.9501492342548551,0.0034094252388181534,5067,0.26316643467231965
17,9,0.014579693473167371,binary,auc,gbdt,0.5862171438096303,30,800,50,20,2019,23.170815307528287,23.677762515136518,0.24061329651429286,0.1305142318068488,-1,20000,50,0.9388057611708467,0.9395558991527573,0.9377135159588095,-0.0007501379819105924,2105,0.2660241456911691
9,6,0.00794100826420848,binary,auc,gbdt,0.2590125219916144,90,50,65,20,2019,40.26961290875409,48.608815623263055,0.8189113583888779,0.7115661738744921,-1,20000,50,0.9147154511061308,0.9172079001904108,0.9130477385546054,-0.002492449084279924,167,0.27273614039186594
23,11,0.005162567634158453,binary,auc,gbdt,0.10166052123721159,30,25,45,20,2019,45.202601190406575,10.882415504921534,0.33204520259763837,0.26533121019519684,-1,20000,50,0.888898931913433,0.8918652095331097,0.8878679232451853,-0.002966277619676605,9,0.28022440099936546
10,3,0.00805206033369862,binary,auc,gbdt,0.9776856034737008,40,750,10,20,2019,28.125504034251534,39.84619808919507,0.30507971660048916,0.7932893690838377,-1,20000,50,0.9411782176442162,0.9413597913242593,0.93898363094334,-0.00018157368004312335,1860,0.26537914368884935
5,11,0.007072551712707216,binary,auc,gbdt,0.821047720123765,60,450,35,20,2019,23.99875178528176,18.122761495917704,0.9496346769406745,0.6661969669987361,-1,20000,50,0.9525942843855453,0.9509094486655089,0.9494702023258477,0.001684835720036415,4060,0.2631824193379292
19,8,0.012658611600554074,binary,auc,gbdt,0.3815531298309397,70,675,85,20,2019,6.6793071760845955,0.1931767281255068,0.6568396244889603,0.13050017253221663,-1,20000,50,0.9177822417332919,0.9191660982093591,0.9177203654928008,-0.0013838564760672023,26,0.2718788718754078
12,9,0.01006465038509579,binary,auc,gbdt,0.6689684436651296,100,625,30,20,2019,1.1183880580478147,1.748336004645278,0.6594746296368389,0.5439750792861977,-1,20000,50,0.9709666608309787,0.9649508759429978,0.9635950364843274,0.006015784887980935,3041,0.26055619307290495
