num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
15,5,0.010118600852735402,binary,auc,gbdt,0.15051891626395525,80,425,70,20,2019,14.611003831662195,13.099653325095195,0.3283710851083689,0.4334581180852718,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
15,10,0.01468241076034748,binary,auc,gbdt,0.26055710094883056,20,375,55,20,2019,30.623796906718887,8.023892084208079,0.9597289793306257,0.9258265817567336,-1,20000,50,1.0,1.0,1.0,0.0,4,0.25
14,6,0.011191253963403619,binary,auc,gbdt,0.5229364411205507,80,375,65,20,2019,48.584872783928354,35.95202008928944,0.27233920054974486,0.8687212941892121,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
21,4,0.011695392714871376,binary,auc,gbdt,0.5290518804126632,20,450,45,20,2019,10.774249413429416,10.794838661150413,0.9954234823478146,0.8972981942435417,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
17,9,0.014579693473167371,binary,auc,gbdt,0.5862171438096303,30,800,50,20,2019,23.170815307528287,23.677762515136518,0.24061329651429286,0.1305142318068488,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
9,6,0.00794100826420848,binary,auc,gbdt,0.2590125219916144,90,50,65,20,2019,40.26961290875409,48.608815623263055,0.8189113583888779,0.7115661738744921,-1,20000,50,1.0,1.0,1.0,0.0,3,0.25
23,11,0.005162567634158453,binary,auc,gbdt,0.10166052123721159,30,25,45,20,2019,45.202601190406575,10.882415504921534,0.33204520259763837,0.26533121019519684,-1,20000,50,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,71,0.25
10,3,0.00805206033369862,binary,auc,gbdt,0.9776856034737008,40,750,10,20,2019,28.125504034251534,39.84619808919507,0.30507971660048916,0.7932893690838377,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
5,11,0.007072551712707216,binary,auc,gbdt,0.821047720123765,60,450,35,20,2019,23.99875178528176,18.122761495917704,0.9496346769406745,0.6661969669987361,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
23,12,0.005134924340010294,binary,auc,gbdt,0.3584044108941961,100,675,80,20,2019,42.62387386878169,18.68575753927499,0.6085039350950596,0.5419409848358272,-1,20000,50,1.0,1.0,1.0,0.0,11,0.25
19,2,0.006374625971575419,binary,auc,gbdt,0.6560104406282203,50,900,85,20,2019,36.89911785380035,49.25969868792825,0.18018183127299606,0.5613501956531243,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
2,11,0.006780267106616835,binary,auc,gbdt,0.705656229478097,70,600,30,20,2019,19.883441027871307,18.767144943587017,0.7580430334800928,0.6519123143849572,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
24,3,0.013182373850587835,binary,auc,gbdt,0.33068394461351347,100,1000,80,20,2019,42.16024261959266,30.979400547942994,0.5714340113537386,0.5555799827249635,-1,20000,50,1.0,1.0,1.0,0.0,3,0.25
19,2,0.006068467292140766,binary,auc,gbdt,0.6932628579813842,50,950,100,20,2019,36.67371250991754,47.53255554949575,0.43388526669524097,0.5525856268086405,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
